L/h1,A2/A1,Cpr
2.5798057937644665,1.2079532052805362,0.3
2.9472881444316954,1.239393774962317,0.325
3.431787647648388,1.2808103120153889,0.35
3.902028467866921,1.3187466015107263,0.375
4.436704052617378,1.3635099602193006,0.4
4.94957900672481,1.401161622493904,0.425
5.469466271505848,1.4511026805599487,0.45
6.130816332550895,1.4978270282762116,0.475
6.678798232775794,1.5545721017303458,0.5
7.450855213927585,1.6177852919769018,0.525
8.233468186098635,1.6979620898405512,0.55
9.229032363147605,1.773879138553506,0.575
10.150029392836442,1.8784269481544555,0.6
11.651140511113535,2.0112368446720215,0.625
13.374254394328968,2.1861867916929203,0.65
15.279359986047874,2.3527696026162745,0.675
17.45583975748462,2.5646215636647094,0.7
21.932465801257884,2.969169622809492,0.725
27.03783721615762,3.489976136091847,0.75
